filename,true_label,true_class,source_path
6456.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/6456.jpg
8413.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/8413.jpg
4980.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/4980.jpg
10779.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/10779.jpg
2501.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/2501.jpg
7461.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/7461.jpg
7582.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/7582.jpg
7434.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/7434.jpg
9704.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/9704.jpg
4941.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/4941.jpg
10049.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/10049.jpg
5295.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/5295.jpg
8834.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/8834.jpg
12462.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/12462.jpg
220.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/220.jpg
1868.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/1868.jpg
8901.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/8901.jpg
12098.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/12098.jpg
695.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/695.jpg
131.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/131.jpg
637.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/637.jpg
4296.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/4296.jpg
373.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/373.jpg
2378.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/2378.jpg
9160.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/9160.jpg
2737.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/2737.jpg
8358.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/8358.jpg
4621.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/4621.jpg
10470.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/10470.jpg
9220.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/9220.jpg
5486.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/5486.jpg
2997.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/2997.jpg
4106.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/4106.jpg
8923.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/8923.jpg
4283.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/4283.jpg
9735.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/9735.jpg
8445.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/8445.jpg
755.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/755.jpg
1015.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/1015.jpg
9135.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/9135.jpg
363.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/363.jpg
2616.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/2616.jpg
9421.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/9421.jpg
9815.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/9815.jpg
11666.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/11666.jpg
4191.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/4191.jpg
307.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/307.jpg
2.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/2.jpg
11389.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/11389.jpg
11228.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/11228.jpg
10509.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/10509.jpg
367.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/367.jpg
7272.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/7272.jpg
4622.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/4622.jpg
7171.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/7171.jpg
7871.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/7871.jpg
6543.jpg,1,dog,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Dog/6543.jpg
10300.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/10300.jpg
11214.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/11214.jpg
6593.jpg,0,cat,/Users/maheshkumar_ganesan/Documents/Important_Office_Docs/Learnings/Byte_Pilanned/Semester_3/MLOps/Assignment_2/cats-dogs-mlops/data/raw/PetImages/Cat/6593.jpg
