model,fold,n_train,n_val,epochs,accuracy,precision,recall,f1,roc_auc,seconds,degenerate,init_fingerprint,trained_fingerprint
baseline,1,3200,800,8,0.63875,0.84472049689441,0.34,0.48484848484848486,0.76329375,262.4,False,eb3b49f5664e74c5,b287d97194e78e2c
baseline,2,3200,800,8,0.68125,0.665903890160183,0.7275,0.6953405017921147,0.7603375000000001,268.9,False,eb3b49f5664e74c5,7c09215b5cd22d9e
baseline,3,3200,800,8,0.6,0.6666666666666666,0.4,0.5,0.6435375,294.3,False,eb3b49f5664e74c5,6454bc5060416070
baseline,4,3200,800,8,0.5725,0.8625,0.1725,0.2875,0.6724937499999999,296.8,False,eb3b49f5664e74c5,127751410fe5f46c
baseline,5,3200,800,8,0.60625,0.5746924428822495,0.8175,0.6749226006191951,0.7168687499999999,293.1,False,eb3b49f5664e74c5,44678de69af6e5c8
transfer,1,3200,800,8,0.9825,0.9730392156862745,0.9925,0.9826732673267327,0.9960625,81.7,False,446c94170c55d0d1,66953ee789792e06
transfer,2,3200,800,8,0.97875,0.9682151589242054,0.99,0.9789864029666254,0.99846875,82.0,False,446c94170c55d0d1,d9af407e81125b0b
transfer,3,3200,800,8,0.9825,0.9777227722772277,0.9875,0.9825870646766169,0.99840625,84.9,False,446c94170c55d0d1,0ebf042fe0a31854
transfer,4,3200,800,8,0.98875,0.9899749373433584,0.9875,0.9887359198998749,0.99956875,98.1,False,446c94170c55d0d1,bf55bb53cd08e86a
transfer,5,3200,800,8,0.9875,0.9899497487437185,0.985,0.9874686716791979,0.9994562499999999,88.4,False,446c94170c55d0d1,194bff4045981596
baseline,mean,,,,0.61975,0.722897,0.4915,0.528522,0.711306,,,,
baseline,std,,,,0.037278,0.111986,0.242923,0.148374,0.047406,,,,
transfer,mean,,,,0.984,0.97978,0.9885,0.98409,0.998392,,,,
transfer,std,,,,0.003657,0.008841,0.00255,0.003558,0.001261,,,,
